Supercharger,Street Address,City of Industry,State,Zip,Country,Stalls,Kw,GPS,Elev
"Playa Vista - W Jefferson Blvd, CA",12746 W Jefferson Blvd,Playa Vista,CA,90094,USA,14,72,"33.977104, -118.417167",11
"Hollister, CA","Casa de Fruta, 10021 Pacheco Pass Hwy",Hollister,CA,95023,USA,20,150,"36.989869, -121.380535",83
"San Diego, CA",10105 Pacific Heights Blvd,San Diego,CA,92121,USA,12,150,"32.902137, -117.193489",88
"San Jose - Santana Row (Valet), CA",330 Winchester Blvd,San Jose,CA,95128,USA,10,72,"37.321459, -121.948969",41
"Tustin, CA",15000-15190 Kensington Park Dr,Tustin,CA,92782,USA,8,250,"33.7123, -117.8163",15
"Fresno - North Riverside Drive, CA",5001 N Riverside Dr,Fresno,CA,93722,USA,12,250,"36.832164, -119.908341",91
"Irvine - Culver Drive, CA",14346 Culver Dr,Irvine,CA,92604,USA,16,250,"33.706784, -117.785164",29
"Pomona, CA",90 Rio Rancho Rd,Pomona,CA,91766,USA,16,250,"34.027034, -117.762195",246
"Fremont - 39201 Fremont Blvd, CA",39201 Fremont Blvd,Fremont,CA,94538,USA,12,150,"37.544506, -121.983822",16
"Chino Hills, CA",13920 City Center Dr,Chino Hills,CA,91709,USA,16,250,"34.002163, -117.731326",217
"Vallejo - Solano Ave, CA",2001-2155 Solano Ave,Vallejo,CA,94590,USA,20,250,"38.104444, -122.230234",11
"Daly City, CA",1 Serramonte Center,Daly City,CA,94015,USA,40,72,"37.673998, -122.472257",89
"Irvine - Walnut Ave, CA",5406 Walnut Ave,Irvine,CA,92604,USA,8,250,"33.689853, -117.768924",47
"Downey - Stonewood St, CA",251 Stonewood St,Downey,CA,90241,USA,12,72,"33.934643, -118.12117",35
"East Palo Alto, CA",1775 E Bayshore Rd,East Palo Alto,CA,94303,USA,20,72,"37.459659, -122.137651",6
"Brentwood, CA",2455 Sand Creek Rd,Brentwood,CA,94513,USA,16,250,"37.9466789, -121.7409128",41
"Cabazon - Morongo Trail, CA",49020 Seminole Dr,Cabazon,CA,92230,USA,12,250,"33.923726, -116.803246",608
"Fremont - Civic Center Dr, CA",39410 Civic Center Dr,Fremont,CA,94538,USA,8,250,"37.554989, -121.974239",20
"Tracy - West Grant Line Rd, CA",2850 W Grant Line Rd,Tracy,CA,95304,USA,12,250,"37.753054, -121.467549",7
"West Hollywood, CA",8775 Sunset Blvd,West Hollywood,CA,90069,USA,8,250,"34.091635, -118.382241",109
"Arroyo Grande - W Branch Rd, CA",1160 W Branch St,Arroyo Grande,CA,93420,USA,8,250,"35.126833, -120.595972",56
"Santa Maria, CA",371 Town Center E,Santa Maria,CA,93454,USA,20,250,"34.952928, -120.434555",67
"Sherman Oaks - Ventura Blvd, CA",15301 Ventura Blvd,Sherman Oaks,CA,91403,USA,40,250,"34.156902, -118.467539",212
"Oakhurst, CA",Comfort Inn 40489 CA-41,Oakhurst,CA,93644,USA,8,250,"37.333611, -119.645191",723
"Lost Hills, CA",I-5 CA-46,Lost Hills,CA,93249,USA,20,250,"35.616874, -119.656098",75
"Pasadena - 3363 E Foothill Blvd, CA",3363 East Foothill Blvd,Pasadena,CA,91107,USA,20,250,"34.153571, -118.081718",224
"City of Industry - Colima Rd, CA",17501 Colima Rd,City of Industry,CA,91748,USA,12,250,"33.990779, -117.925266",138
"Fresno - North Blackstone Ave, CA",7965 N Blackstone Ave,Fresno,CA,93720,USA,8,250,"36.850405, -119.791265",108
"Ontario - Vineyard Ave, CA",2440 S Vineyard Ave,Ontario,CA,91761,USA,24,250,"34.029757, -117.612147",251
"Pacific Palisades, CA",1038 N Swarthmore Ave,Pacific Palisades,CA,90272,USA,8,250,"34.047878, -118.524987",100
"San Gabriel, CA",140 W Valley Blvd,San Gabriel,CA,91776,USA,20,250,"34.077694, -118.100109",102
"San Marcos, CA",573 Grand Ave,San Marcos,CA,92078,USA,20,250,"33.13658, -117.176119",170
"Burlingame, CA",150 Anza Blvd,Burlingame,CA,94010,USA,20,250,"37.591194, -122.348705",4
"Diamond Bar, CA",2785 S Diamond Bar Blvd,Diamond Bar,CA,91765,USA,24,250,"33.97577, -117.838484",219
"Auburn, CA",13431 Bowman Rd,Auburn,CA,95603,USA,12,250,"38.926253, -121.058008",482
"San Bruno - El Camino Real, CA",1150 El Camino Real,San Bruno,CA,94066,USA,28,250,"37.636105, -122.420515",18
"Alturas, CA",1200 W 12th St,Alturas,CA,96101,USA,8,250,"41.495424, -120.55978",1335
"Sonoma, CA",276 E Napa St,Sonoma,CA,95476,USA,8,250,"38.29179, -122.452126",29
"Commerce, CA",100 Citadel Dr,Commerce,CA,90040,USA,20,250,"34.006382, -118.148878",48
"Pasadena - Shoppers Ln, CA",410 Shoppers Ln,Pasadena,CA,91106,USA,12,250,"34.139, -118.1312",236
"San Diego - Truxtun Rd, CA",Truxtun Rd,San Diego,CA,92106,USA,12,250,"32.737743, -117.217061",6
"Soledad - H Dela Rosa St, CA",3070 H Dela Rosa Sr St,Soledad,CA,93960,USA,7,250,"36.4162019, -121.320846",61
"Turlock, CA",1684 Countryside Dr,Turlock,CA,95380,USA,16,250,"37.508786, -120.876109",31
"Temecula - Temecula Pkwy, CA",30515 Temecula Pkwy,Temecula,CA,92592,USA,8,250,"33.475122, -117.129563",308
"City of Industry - Gale Ave, CA",18558 Gale Ave,City of Industry,CA,91748,USA,20,250,"33.994605, -117.899677",135
"Susanville, CA",900 Skyline Rd,Susanville,CA,96130,USA,8,250,"40.430902, -120.657897",1306
"San Leandro, CA",1201 Marina Blvd,San Leandro,CA,94577,USA,12,250,"37.709813, -122.164607",10
"Kettleman City - Bernard Dr, CA",Bernard Dr,Kettleman City,CA,93239,USA,55,250,"35.9861622, -119.957565",104
"Chowchilla, CA",1225 East Robertson Blvd,Chowchilla,CA,93610,USA,12,250,"37.126287, -120.247428",75
"San Diego - Carmel Mountain Rd, CA",4639 Carmel Mountain Rd,San Diego,CA,92130,USA,24,250,"32.920824, -117.21491",94
"San Diego - Mission Center Rd, CA",5694 Mission Center Rd,San Diego,CA,92108,USA,10,250,"32.776392, -117.155136",21
"Mt. Shasta - 111 Morgan Way, CA",111 Morgan Way,Mt. Shasta,CA,96067,USA,4,125,"41.310233, -122.317278",1066
"Brea, CA",250 Brea Mall,Brea,CA,92821,USA,20,250,"33.914491, -117.883662",102
"Buena Park - Beach Blvd, CA",6911 Brenner Ave,Buena Park,CA,90621,USA,24,72,"33.86044, -117.996347",23
"Carlsbad - Paseo Del Norte, CA",5620 Paseo Del Norte,Carlsbad,CA,92008,USA,16,250,"33.124351, -117.31912",23
"Santa Barbara - Anacapa St, CA",621 Anacapa Street,Santa Barbara,CA,93101,USA,12,250,"34.418965, -119.697083",9
"Los Angeles - Alameda St, CA",777 Alameda St,Los Angeles,CA,90021,USA,16,72,"34.033502, -118.240852",74
"Union City, CA",34536 Alvarado Niles Rd,Union City,CA,94587,USA,12,250,"37.587128, -122.020442",13
"Rancho Cucamonga - Foothill Blvd, CA",12750 Foothill Blvd,Rancho Cucamonga,CA,91739,USA,8,250,"34.106627, -117.527064",368
"Culver City - 11924 Washington Blvd, CA",11924 Washington Blvd,Los Angeles,CA,90066,USA,8,250,"33.997487, -118.421155",17
"Marina, CA",145 General Stillwell Dr,Marina,CA,93933,USA,12,250,"36.666436, -121.810168",24
"Yorba Linda, CA",18601 Yorba Linda Blvd,Yorba Linda,CA,92886,USA,8,250,"33.889175, -117.808082",121
"San Diego - Scripps Poway Pkwy, CA","10555 Scripps Poway Pkwy, CA",San Diego,CA,92131,USA,12,250,"32.9362, -117.098848",187
"Culver City - Washington Blvd, CA",8850 Washington Blvd,Culver City,CA,90232,USA,8,250,"34.027046, -118.388416",33
"Lake Arrowhead, CA",28200 State Hwy 189,Lake Arrowhead,CA,92532,USA,8,250,"34.250676, -117.189756",1577
"Stockton - E Morada Ln, CA",4255 E Morada Ln,Stockton,CA,95212,USA,12,250,"38.039095, -121.260928",11
"Azusa, CA",809 N Azusa Ave,Azusa,CA,91702,USA,16,250,"34.1367, -117.9082",190
"Calabasas - Commons Way, CA",4799 Commons Way,Calabasas,CA,91302,USA,20,250,"34.154607, -118.645367",292
"Highland, CA",27961 Highland Avenue,Highland,CA,92346,USA,8,250,"34.135136, -117.195193",450
"Chula Vista - Showroom Pl, CA",881 Showroom Pl,Chula Vista,CA,91914,USA,16,250,"32.651478, -116.954543",210
"Needles - W Broadway St, CA",2410 W Broadway St,Needles,CA,92363,USA,12,250,"34.850856, -114.622865",155
"Needles - E Broadway St, CA",1020 E Broadway St,Needles,CA,92363,USA,12,250,"34.825734, -114.594896",166
"Needles, CA",2451 Needles Hwy,Needles,CA,92363,USA,4,150,"34.850835, -114.624329",157
"Ontario, CA",155 E C St,Ontario,CA,91764,USA,8,250,"34.066162, -117.65027",309
"Dublin - Amador Valley Blvd, CA",7841 Amador Valley Blvd,Dublin,CA,94568,USA,12,250,"37.7066, -121.9348",109
"Weaverville, CA",1665 Main St,Weaverville,CA,96093,USA,8,250,"40.720505, -122.928071",606
"San Diego - Genesee Ave, CA",4310 Genesee Ave,San Diego,CA,92117,USA,8,250,"32.821662, -117.184317",112
"Bakersfield - Copus Rd, CA",10565 Copus Rd,Kern County,CA,93313,USA,20,250,"35.094874, -119.040158",100
"San Ardo, CA",65340 Los Lobos Rd,San Ardo,CA,93450,USA,12,250,"35.97477, -120.900203",150
"Selma, CA",2851 Highland Ave,Selma,CA,93662,USA,16,250,"36.574434, -119.629402",94
"Folsom - Iron Point Rd, CA",13000 Folsom Blvd,Folsom,CA,95630,USA,4,120,"38.64258, -121.18806",63
"Vernon, CA",3805 S Soto St,Vernon,CA,90058,USA,8,250,"34.008048, -118.220145",63
"Oakland - Hegenberger Rd, CA",640 Hegenberger Rd,Oakland,CA,94621,USA,16,250,"37.746403, -122.195614",4
"Castaic, CA",29435 The Old Rd,Castaic,CA,91384,USA,12,250,"34.452312, -118.61614",315
"Burbank - N San Fernando Blvd, CA",1009 N San Fernando Blvd,Burbank,CA,91504,USA,8,250,"34.187565, -118.318197",185
"Newhall, CA",23502 Newhall Ave,Santa Clarita,CA,91321,USA,16,250,"34.3683, -118.5092",413
"Costa Mesa - Bristol St, CA",1400 Bristol St,Costa Mesa,CA,92626,USA,12,250,"33.66627, -117.882682",14
"Martinez, CA",520 Center Ave,Martinez,CA,94553,USA,16,250,"37.99316, -122.12137",73
"Pasadena - E Colorado Blvd, CA",3500 E Colorado Blvd,Pasadena,CA,91107,USA,16,250,"34.145015, -118.078417",207
"Mojave - 16870 CA-14, CA",16870 CA-14,Mojave,CA,93501,USA,20,250,"35.067855, -118.175439",862
"Long Beach, CA",6527 Pacific Coast Hwy,Long Beach,CA,90803,USA,20,250,"33.7574, -118.1074",3
"Buttonwillow - Cal Club Rd, CA",24551 W Lerdo Hwy,Buttonwillow,CA,93206,USA,16,250,"35.497199, -119.554591",77
"Tustin - Red Hill Ave, CA",14521 Red Hill Ave,Tustin,CA,92780,USA,12,250,"33.727381, -117.821821",28
"Vacaville - Browns Valley Pkwy, CA",154 Browns Valley Pkwy,Vacaville,CA,95688,USA,8,250,"38.365225, -121.967972",40
"Victorville, CA",14598 7th St,Victorville,CA,92395,USA,16,250,"34.517047, -117.313614",897
"Burney, CA",38389 CA-299,Burney,CA,96013,USA,8,250,"40.924144, -121.620569",982
"South Lake Tahoe, CA",2977 US HWY 50,South Lake Tahoe,CA,96150,USA,8,250,"38.85543, -120.013284",1931
"Ventura, CA",4095 Telegraph Rd,Ventura,CA,93003,USA,12,250,"34.275162, -119.239734",57
"Modesto - Joyce Ave, CA",1212 Joyce Ave,Modesto,CA,95351,USA,8,250,"37.61061, -120.976745",29
"Dunnigan, CA",30038 County Road 8,Dunnigan,CA,95937,USA,8,250,"38.862861, -121.951538",17
"Vacaville - Alamo Dr, CA",870 Alamo Dr,Vacaville,CA,95688,USA,12,250,"38.347268, -121.999145",54
"Valencia, CA",27750 The Old Rd,Valencia,CA,91355,USA,8,250,"34.4237, -118.5845",328
"Fairfield - 3001 Travis Blvd, CA",3001 Travis Blvd,Fairfield,CA,94534,USA,12,250,"38.257435, -122.065449",13
"Anaheim - W Lincoln Ave, CA",1128 W Lincoln Ave,Anaheim,CA,92805,USA,16,250,"33.8321991, -117.9293952",44
"Roseville - Freedom Way, CA",1851 Freedom Way,Roseville,CA,95678,USA,24,250,"38.792458, -121.298228",39
"Lake Forest - Muirlands Blvd, CA",24301 Muirlands Blvd,Lake Forest,CA,92630,USA,24,250,"33.629413, -117.705886",113
"Grass Valley, CA",692 Freeman Lane,Grass Valley,CA,95949,USA,12,250,"39.199798, -121.064216",744
"Palo Alto - Bryant St, CA",445 Bryant St,Palo Alto,CA,94301,USA,19,250,"37.446507, -122.162028",18
"Santa Monica - Cloverfield Blvd, CA",1819 Cloverfield Blvd,Santa Monica,CA,90404,USA,16,250,"34.025098, -118.469543",49
"Mission Viejo - Crown Valley Pkwy, CA",27741 Crown Valley Pkwy,Mission Viejo,CA,92691,USA,8,72,"33.5607, -117.672028",90
"Walnut Creek - Oak Grove Rd, CA",2290 Oak Grove Rd,Walnut Creek,CA,94598,USA,12,250,"37.930078, -122.014812",37
"Lake Elsinore - Grape Street, CA",31500 Grape Street,Lake Elsinore,CA,92532,USA,16,250,"33.65937259957883, -117.29450572076",416
"Coalinga, CA",24553 W Dorris Ave,Coalinga,CA,93210,USA,80,250,"36.253519, -120.240461",141
"Lawndale, CA",15207 Hawthorne Blvd,Lawndale,CA,90260,USA,8,250,"33.893485, -118.352964",17
"San Clemente, CA",101 West Avenida Vista Hermosa,San Clemente,CA,92672,USA,49,250,"33.437177, -117.62712",46
"Costa Mesa - Hyland Ave, CA",3303 Hyland Ave,Costa Mesa,CA,92626,USA,8,250,"33.692874, -117.92514",9
"Beaumont - Oak Valley Village Cir, CA",1815 Oak Valley Village Cir,Beaumont,CA,92223,USA,24,250,"33.946913, -117.00056",762
"Yermo - Sunrise Canyon Rd, CA",40865 Sunrise Canyon Rd,Yermo,CA,92398,USA,40,250,"34.919528, -116.769185",577
"Milpitas - S Abbott Ave, CA",333 S Abbott Ave,Milpitas,CA,95035,USA,12,250,"37.42537, -121.914559",7
"West Covina, CA",2650 E Garvey Ave,West Covina,CA,91791,USA,16,250,"34.070663, -117.889053",147
"Fullerton, CA",205 E Orangethorpe Ave,Fullerton,CA,92832,USA,16,250,"33.859694, -117.921706",47
"Lakewood, CA",5603 Woodruff Ave,Lakewood,CA,90713,USA,20,250,"33.858572, -118.116389",16
"Carlsbad - Van Allen Way, CA",5806 Van Allen Way,Carlsbad,CA,92008,USA,8,250,"33.13507, -117.288012",75
"Long Beach - Long Beach Blvd, CA",6590 Long Beach Blvd,Long Beach,CA,90805,USA,8,250,"33.87396, -118.202413",18
"El Portal, CA",11136 CA-140,El Portal,CA,95318,USA,8,250,"37.679047, -119.763477",639
"San Mateo - De Anza Blvd, CA",230 De Anza Blvd,San Mateo,CA,94402,USA,8,250,"37.5215, -122.3377",102
"Tustin - Flight Way, CA",1705 Flight Way,Tustin,CA,92782,USA,7,250,"33.704288, -117.836881",15
"Visalia, CA",6603 Betty Dr,Visalia,CA,93291,USA,19,250,"36.350804, -119.4247",86
"Laguna Hills - Moulton Pkwy, CA",23701 Moulton Pkwy,Laguna Hills,CA,92653,USA,16,250,"33.618222, -117.733708",105
"Lathrop, CA",192 Lathrop Rd,Lathrop,CA,95330,USA,11,250,"37.826148, -121.285965",6
"Vallejo, CA",904 Admiral Callaghan Ln,Vallejo,CA,94591,USA,18,150,"38.131215, -122.223369",30
"Richmond - Pierce St, CA",3288 Pierce St,Richmond,CA,94804,USA,16,250,"37.898736, -122.308672",4
"Hawthorne - W 120th St, CA",2700 W 120th St,Hawthorne,CA,90250,USA,20,250,"33.923198, -118.322218",21
"Tustin - Franklin Ave, CA",14461 Franklin Ave,Tustin,CA,92780,USA,36,250,"33.716605, -117.810303",19
"Yucca Valley, CA",57220 Twentynine Palms Hwy,Yucca Valley,CA,92284,USA,16,250,"34.12375, -116.415727",993
"Barstow, CA",2812 Lenwood Rd,Barstow,CA,92311,USA,16,150,"34.849129, -117.085446",725
"Northridge, CA",9022 Tampa Ave,Northridge,CA,91324,USA,24,250,"34.23471, -118.55287",252
"La Quinta, CA",50929 Washington St,La Quinta,CA,92253,USA,8,250,"33.678373, -116.296225",13
"Barstow - E Virginia Way, CA",502 E Virginia Way,Barstow,CA,92311,USA,10,250,"34.8864348, -117.0198947",721
"Brea - S Madrona Ave, CA",175 S Madrona Ave,Brea,CA,92821,USA,24,250,"33.919492, -117.902014",109
"Santa Monica, CA",1401 Santa Monica Blvd,Santa Monica,CA,90404,USA,62,250,"34.024585, -118.485771",41
"Victorville - Amargosa Rd, CA","Restaurant Row, 11604 Amargosa Rd",Victorville,CA,92392,USA,16,250,"34.463156, -117.354375",983
"Marysville, CA",5416 Lindhurst Ave,Marysville,CA,95901,USA,8,250,"39.111142, -121.55662",19
"Mariposa, CA",5034 Coakley Circle,Mariposa,CA,95338,USA,12,250,"37.488952, -119.972428",605
"Palmdale - 10th St W, CA",39626 10th St W,Palmdale,CA,93551,USA,24,250,"34.602239, -118.146111",813
"Mojave - CA-14, CA",16862 CA-14,Mojave,CA,93501,USA,12,250,"35.067128, -118.176174",863
"Irvine - 5396 Walnut Ave, CA",5396 Walnut Ave,Irvine,CA,92604,USA,12,250,"33.691241, -117.769787",47
"Mammoth Lakes - Old Mammoth Rd, CA",686 Old Mammoth Rd,Mammoth Lakes,CA,93546,USA,12,250,"37.636186, -118.967973",2393
"Laguna Hills, CA",25272 Cabot Rd,Laguna Hills,CA,92653,USA,16,250,"33.595554, -117.675507",112
"Pleasanton, CA",6770 Santa Rita Rd,Pleasanton,CA,94588,USA,12,250,"37.69989, -121.871035",105
"Irvine - Main St, CA",1970 Main St,Irvine,CA,92614,USA,24,72,"33.684357, -117.851746",11
"Los Angeles - Venice Blvd, CA",8985 Venice Blvd,Los Angeles,CA,90034,USA,44,250,"34.027942, -118.393968",35
"Redding - Hilltop Dr, CA",1900 Hilltop Dr,Redding,CA,96002,USA,44,250,"40.578643, -122.359162",176
"Commerce - East Telegraph Rd, CA",6131 Telegraph Rd,Commerce,CA,90040,USA,40,250,"33.998539, -118.146359",44
"Whittier, CA",15360 Whittier Blvd,Whittier,CA,90603,USA,12,250,"33.945806, -117.999033",74
"San Diego - Navajo Rd, CA",8766 Navajo Rd,San Diego,CA,92119,USA,12,250,"32.80385, -117.008942",212
"Big Bear Lake, CA",40568 Village Dr,Big Bear Lake,CA,92315,USA,6,250,"34.241476, -116.91696",2066
"Yorba Linda - Yorba Linda Blvd, CA",18210 Yorba Linda Blvd,Yorba Linda,CA,92886,USA,8,250,"33.887662, -117.81376",114
"Calimesa, CA",497 Sandalwood Dr,Calimesa,CA,92320,USA,12,250,"33.993267, -117.056082",734
"Tejon Ranch - Outlets at Tejon Pkwy, CA",5701 Outlets at Tejon Pkwy,Arvin,CA,93203,USA,76,250,"34.985959, -118.94385",337
"Barstow - Tanger Way, CA",2796 Tanger Way,Barstow,CA,92311,USA,20,250,"34.8446, -117.0862",729
"Cypress, CA",4959 Katella Ave,Cypress,CA,90720,USA,16,250,"33.804336, -118.044231",8
"Santa Nella, CA",13070 CA-33,Santa Nella,CA,95322,USA,48,250,"37.100209, -121.012011",44
"Newport Beach, CA",4241 MacArthur Blvd,Newport Beach,CA,92660,USA,12,250,"33.665072, -117.864896",16
"Newark - Gateway Blvd, CA",8200 Gateway Blvd,Newark,CA,94560,USA,22,250,"37.536013, -122.063348",3
"Huntington Park, CA",5731 Bickett St,Huntington Park,CA,90255,USA,12,250,"33.990229, -118.216265",52
"West Covina - 1414 S Azusa Ave, CA",1414 S Azusa Ave,West Covina,CA,91791,USA,20,250,"34.047758, -117.906879",158
"Daly City - Mission St, CA",6917 Mission St,Daly City,CA,94014,USA,15,250,"37.696548, -122.463229",96
"Alhambra, CA",2400 W Commonwealth Ave,Alhambra,CA,91803,USA,12,250,"34.087069, -118.151192",144
"Scotts Valley, CA",230 Mount Hermon Rd,Scotts Valley,CA,95066,USA,16,250,"37.047608, -122.027743",161
"El Dorado Hills, CA",3935 Park Dr,El Dorado Hills,CA,95762,USA,12,250,"38.656461, -121.070673",192
